id,datetime,cloud_cover,platform,constellation,collection
S2B_MSIL2A_20230103T092309_N0510_R093_T34TFK_20240812T095908,2023-01-03 09:23:09.024000+00:00,4.192856,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230103T092309_N0510_R093_T35TKF_20240812T095908,2023-01-03 09:23:09.024000+00:00,5.140365,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230103T092309_N0510_R093_T34TGL_20240812T095908,2023-01-03 09:23:09.024000+00:00,5.186402,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230103T092309_N0510_R093_T34TGK_20240812T095908,2023-01-03 09:23:09.024000+00:00,9.506335,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230103T092309_N0510_R093_T35TKE_20240812T095908,2023-01-03 09:23:09.024000+00:00,10.098863,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230103T092309_N0510_R093_T34TFL_20240812T095908,2023-01-03 09:23:09.024000+00:00,11.90862,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230105T091351_N0510_R050_T34TFK_20240811T230402,2023-01-05 09:13:51.024000+00:00,6.976020000000001,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230105T091351_N0510_R050_T34TFL_20240811T230402,2023-01-05 09:13:51.024000+00:00,12.554874,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230108T092351_N0510_R093_T34TFL_20240812T095616,2023-01-08 09:23:51.024000+00:00,0.24679100000000004,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230108T092351_N0510_R093_T34TFK_20240812T095616,2023-01-08 09:23:51.024000+00:00,5.175394,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230108T092351_N0510_R093_T34TGL_20240812T095616,2023-01-08 09:23:51.024000+00:00,18.266445,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230108T092351_N0510_R093_T35TKF_20240812T095616,2023-01-08 09:23:51.024000+00:00,18.896112,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230113T092239_N0510_R093_T34TFK_20240813T093142,2023-01-13 09:22:39.024000+00:00,5.686398,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230113T092239_N0510_R093_T34TFL_20240813T093142,2023-01-13 09:22:39.024000+00:00,13.261531,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230128T092241_N0510_R093_T34TFK_20240812T040650,2023-01-28 09:22:41.024000+00:00,6.890222,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230128T092241_N0510_R093_T34TGK_20240812T040650,2023-01-28 09:22:41.024000+00:00,13.155153000000002,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230128T092241_N0510_R093_T35TKE_20240812T040650,2023-01-28 09:22:41.024000+00:00,15.970194,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230130T091129_N0510_R050_T34TFL_20240811T061804,2023-01-30 09:11:29.024000+00:00,6.619179,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230202T092109_N0510_R093_T35TKE_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.01,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230202T092109_N0510_R093_T34TGK_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.01,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230202T092109_N0510_R093_T34TFL_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.38,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230202T092109_N0510_R093_T34TGL_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.4,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230202T092109_N0510_R093_T35TKF_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.42,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230202T092109_N0510_R093_T34TFK_20240815T155145,2023-02-02 09:21:09.024000+00:00,2.81,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230204T091201_N0510_R050_T34TFK_20240817T082852,2023-02-04 09:12:01.024000+00:00,14.12,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230207T092141_N0510_R093_T34TFL_20240813T041809,2023-02-07 09:21:41.024000+00:00,15.4,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230214T091051_N0510_R050_T34TFK_20240814T203653,2023-02-14 09:10:51.024000+00:00,0.008351,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230214T091051_N0510_R050_T34TFL_20240814T203653,2023-02-14 09:10:51.024000+00:00,0.019999,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230214T091051_N0510_R050_T34TGL_20240814T203653,2023-02-14 09:10:51.024000+00:00,1.021766,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230214T091051_N0510_R050_T35TKF_20240814T203653,2023-02-14 09:10:51.024000+00:00,1.780343,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230214T091051_N0510_R050_T34TGK_20240814T203653,2023-02-14 09:10:51.024000+00:00,4.43045,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230214T091051_N0510_R050_T35TKE_20240814T203653,2023-02-14 09:10:51.024000+00:00,5.449428,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230219T091019_N0510_R050_T34TFK_20240814T044836,2023-02-19 09:10:19.024000+00:00,6.712788,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230219T091019_N0510_R050_T34TGK_20240814T044836,2023-02-19 09:10:19.024000+00:00,12.714659,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230219T091019_N0510_R050_T35TKE_20240814T044836,2023-02-19 09:10:19.024000+00:00,13.891486999999998,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230219T091019_N0510_R050_T34TFL_20240814T044836,2023-02-19 09:10:19.024000+00:00,19.038484,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230222T092029_N0510_R093_T34TFK_20240815T003923,2023-02-22 09:20:29.025000+00:00,18.902755,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230306T090831_N0510_R050_T34TFK_20240820T071440,2023-03-06 09:08:31.024000+00:00,0.808215,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230306T090831_N0510_R050_T34TFL_20240820T071440,2023-03-06 09:08:31.024000+00:00,1.521734,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230306T090831_N0510_R050_T34TGL_20240820T071440,2023-03-06 09:08:31.024000+00:00,2.58752,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230306T090831_N0510_R050_T35TKF_20240820T071440,2023-03-06 09:08:31.024000+00:00,2.899405,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230306T090831_N0510_R050_T34TGK_20240820T071440,2023-03-06 09:08:31.024000+00:00,4.0208,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230306T090831_N0510_R050_T35TKE_20240820T071440,2023-03-06 09:08:31.024000+00:00,4.622669,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20230309T092021_N0510_R093_T34TFL_20240823T124833,2023-03-09 09:20:21.024000+00:00,13.162807000000003,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20230311T090709_N0510_R050_T34TFK_20240817T195041,2023-03-11 09:07:09.025000+00:00,4.53,sentinel-2b,sentinel-2,sentinel-2-l2a
