id,datetime,platform,constellation,collection
S2A_MSIL2A_20260322T091331_N0512_R050_T35TKF_20260322T145022,2026-03-22T09:13:31.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260322T091331_N0512_R050_T35TKE_20260322T145022,2026-03-22T09:13:31.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260322T091331_N0512_R050_T34TGL_20260322T145022,2026-03-22T09:13:31.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260322T091331_N0512_R050_T34TGK_20260322T145022,2026-03-22T09:13:31.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260322T091331_N0512_R050_T34TFL_20260322T145022,2026-03-22T09:13:31.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260322T091331_N0512_R050_T34TFK_20260322T145022,2026-03-22T09:13:31.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260320T090701_N0512_R050_T35TKF_20260320T130509,2026-03-20T09:07:01.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260320T090701_N0512_R050_T35TKE_20260320T130509,2026-03-20T09:07:01.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260320T090701_N0512_R050_T34TGL_20260320T130509,2026-03-20T09:07:01.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260320T090701_N0512_R050_T34TGK_20260320T130509,2026-03-20T09:07:01.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260320T090701_N0512_R050_T34TFL_20260320T130509,2026-03-20T09:07:01.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260320T090701_N0512_R050_T34TFK_20260320T130509,2026-03-20T09:07:01.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260318T092029_N0512_R093_T35TKF_20260318T133238,2026-03-18T09:20:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260318T092029_N0512_R093_T35TKE_20260318T133238,2026-03-18T09:20:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260318T092029_N0512_R093_T34TGL_20260318T133238,2026-03-18T09:20:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260318T092029_N0512_R093_T34TGK_20260318T133238,2026-03-18T09:20:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260318T092029_N0512_R093_T34TFL_20260318T133238,2026-03-18T09:20:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260318T092029_N0512_R093_T34TFK_20260318T133238,2026-03-18T09:20:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260315T092051_N0512_R093_T35TKF_20260315T150314,2026-03-15T09:20:51.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260315T092051_N0512_R093_T35TKE_20260315T150314,2026-03-15T09:20:51.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260315T092051_N0512_R093_T34TGL_20260315T150314,2026-03-15T09:20:51.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260315T092051_N0512_R093_T34TGK_20260315T150314,2026-03-15T09:20:51.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260315T092051_N0512_R093_T34TFL_20260315T150314,2026-03-15T09:20:51.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260315T092051_N0512_R093_T34TFK_20260315T150314,2026-03-15T09:20:51.024000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260315T090629_N0512_R050_T35TKF_20260315T131321,2026-03-15T09:06:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260315T090629_N0512_R050_T35TKE_20260315T131321,2026-03-15T09:06:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260315T090629_N0512_R050_T34TGL_20260315T131321,2026-03-15T09:06:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260315T090629_N0512_R050_T34TGK_20260315T131321,2026-03-15T09:06:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260315T090629_N0512_R050_T34TFL_20260315T131321,2026-03-15T09:06:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20260315T090629_N0512_R050_T34TFK_20260315T131321,2026-03-15T09:06:29.024000Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260313T092031_N0512_R093_T35TKF_20260313T130109,2026-03-13T09:20:31.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260313T092031_N0512_R093_T35TKE_20260313T130109,2026-03-13T09:20:31.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260313T092031_N0512_R093_T34TGL_20260313T130109,2026-03-13T09:20:31.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260313T092031_N0512_R093_T34TGK_20260313T130109,2026-03-13T09:20:31.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260313T092031_N0512_R093_T34TFL_20260313T130109,2026-03-13T09:20:31.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2C_MSIL2A_20260313T092031_N0512_R093_T34TFK_20260313T130109,2026-03-13T09:20:31.025000Z,sentinel-2c,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260312T091331_N0512_R050_T35TKF_20260312T142910,2026-03-12T09:13:31.026000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20260312T091331_N0512_R050_T35TKE_20260312T142910,2026-03-12T09:13:31.026000Z,sentinel-2a,sentinel-2,sentinel-2-l2a
